,title,overview,release_data,popularity,original_language,vote_average,vote_count
5873,Labyrinth of Passion,"A camp melodrama/comedy about Sexilia (a nymphomaniac), Sadec (a gay Islamic terrorist), Riza Niro (the son of the emperor of Tiran), and Queti (the daughter of a dry-cleaner).",1982-09-29,16.594,es,6.1,84
5874,Ip Man,"A semi-biographical account of Yip Man, the first martial arts master to teach the Chinese martial art of Wing Chun. The film focuses on events surrounding Ip that took place in the city of Foshan between the 1930s to 1940s during the Second Sino-Japanese War. Directed by Wilson Yip, the film stars Donnie Yen in the lead role, and features fight choreography by Sammo Hung.",2008-12-12,18.513,cn,7.7,3091
5875,Tom and Jerry: A Nutcracker Tale,"A holiday themed animated direct-to-video film starring Academy Award-winners, Tom and Jerry. It uses a good deal of Tchaikovsky's famous ballet The Nutcracker as background music. This film would be the last animated production for Tom and Jerry co-creator, Joseph Barbera, who would die on December 18, 2006. The film features all of the exaggerated violence usually found in Tom and Jerry.",2007-10-02,21.075,en,6.8,103
5876,Crocodile Dundee II,Australian outback expert protects his New York love from gangsters who've followed her down under.,1988-05-19,21.573,en,5.8,885
5877,Next Gen,"A friendship with a top-secret robot turns a lonely girl's life into a thrilling adventure as they take on bullies, evil bots and a scheming madman.",2018-09-07,27.225,en,7.0,621
5878,A Street Cat Named Bob,"James Bowen, a homeless busker and recovering drug addict, has his life transformed when he meets a stray ginger cat.",2016-11-04,18.581,en,7.9,1140
5879,My Spy,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.",2020-01-09,26.029,en,6.9,932
5880,You Were Never Really Here,"A traumatised veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, his nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.",2017-11-08,15.783,en,6.6,2300
5881,Watcher,"As a serial killer stalks the city, Julia — a young actress who just moved to town with her husband — notices a mysterious stranger watching her from across the street.",2022-06-03,16.467,en,6.3,85
5882,Serial (Bad) Weddings,A catholic French couple sees their life upside down when their four daughters get married to men of different religion and origins.,2014-04-16,17.226,fr,6.7,3061
5883,Palm Trees in the Snow,"Spain, 2003. An accidental discovery leads Clarence to travel from the snowy mountains of Huesca to Equatorial Guinea, to visit the land where her father Jacobo and her uncle Kilian spent most of their youth, the island of Fernando Poo.",2015-12-25,20.327,es,7.4,468
5884,The Boondock Saints,"Tired of the crime overrunning the streets of Boston, Irish Catholic twin brothers Conner and Murphy are inspired by their faith to cleanse their hometown of evil with their own brand of zealous vigilante justice. As they hunt down and kill one notorious gangster after another, they become controversial folk heroes in the community. But Paul Smecker, an eccentric FBI agent, is fast closing in on their blood-soaked trail.",1999-01-22,14.772,en,7.3,1951
5885,The Informer,"In New York, former convict Pete Koslow, related to the Polish mafia, must deal with both Klimek the General, his ruthless boss, and the twisted ambitions of two federal agents, as he tries to survive and protect the lives of his loved ones.",2019-08-30,19.088,en,6.5,591
5886,The Invitation,"Will and his new girlfriend Kira are invited to a dinner with old friends at the house of Will’s ex Eden and her new partner David. Although the evening appears to be relaxed, Will soon gets a creeping suspicion that their charming host David is up to something.",2015-08-05,20.826,en,6.5,2149
5887,Brazil,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",1985-02-20,15.52,en,7.7,2709
5888,El Padrecito,"Young priest Father Sebastián is assigned to a parish in San Jeronimo el Alto, where he is not welcomed by the community, particularly the resident priest Father Damián. The newcomer gradually earns the trust of the people through humor, but firmly captures their hearts by saving the town fiesta by fighting a bull when the hired torero failed to show. Father Sebastián counsels the townspeople, lecturing them on their duties in a modern society. He used the collection plate to redistribute the town's wealth more evenly.",1964-09-03,17.821,es,7.8,123
5889,The Invention of Lying,"Set in a world where the concept of lying doesn't exist, a loser changes his lot when he invents lying and uses it to get ahead.",2009-09-13,23.985,en,6.2,1676
5890,Hellboy Animated: Blood and Iron,"When Hellboy, Liz Sherman, and Abe Sapien are assigned to investigate the ghost-infested mansion of a publicity-hound billionaire, they uncover a plot to resurrect a beautiful yet monstrous vampire from Professor Bruttenholm’s past. But before they can stop her bloodbath, Hellboy will have to battle harpies, hellhounds, a giant werewolf, and even the ferocious goddess Hecate herself.",2007-03-10,13.872,en,6.3,85
5891,August Underground's Mordum,Two deranged friends bring along another guy to go on a random murder rampage. They kidnap lesbian lovers and couples and torture them.,2003-01-01,23.979,en,4.1,60
5892,The Flintstones & WWE: Stone Age SmackDown!,"The WWE comes to town in the new animated film teaming the Flintstones with Bedrock-ready versions of John Cena, Daniel Bryan and more.",2015-03-17,16.725,en,7.1,80
5893,Bridget Jones's Baby,"After breaking up with Mark Darcy, Bridget Jones's 'happily ever after' hasn't quite gone according to plan. Fortysomething and single again, she decides to focus on her job as top news producer and surround herself with old friends and new. For once, Bridget has everything completely under control. What could possibly go wrong? Then her love life takes a turn and Bridget meets a dashing American named Jack, the suitor who is everything Mr. Darcy is not. In an unlikely twist she finds herself pregnant, but with one hitch she can only be fifty percent sure of the identity of her baby's father.",2016-09-14,22.576,en,6.4,2599
5894,Arpeggio of Blue Steel -Ars Nova Cadenza-,"The group of privateers known as the Blue Steel continues their mission to deliver blueprints of the Vibration Warhead Torpedo, a weapon that may turn the tides of war in their favor, to the United States. However, a new threat arises from their enemy, the overwhelming Fleet of Fog in the form of ""The Student Council"", a group of warships composed of the remaining Mental Models, the ships' humanoid avatars, who have yet to face the unpredictable captain of the Blue Steel, Gunzou Chihaya.  As the Blue Steel gets closer to understanding the origins of the authority controlling the enemy, Iona's past reveals the beginning of the war and her reason for siding with humanity.",2015-10-03,22.595,ja,7.8,9
5895,Tú eres mi problema,,2021-12-16,21.47,es,7.4,66
5896,Hunt,"Agents of the Korean National Intelligence Service (KNIS), Pyung-ho at Int’l Dept. and Jung-do at Domestic Dept. are both independently hunting a North Korean mole within the agency. During this investigation, they come face to face with an unbearable truth and yet must complete their own missions at all costs.",2022-08-10,17.074,ko,0.0,0
5897,Darkness Falls,"A vengeful spirit has taken the form of the Tooth Fairy to exact vengeance on the town that lynched her 150 years earlier. Her only opposition is the only child, now grown up, who has survived her before.",2003-01-24,23.819,en,5.5,461
5898,Mimic 2,"When a cockroach-spread plague threatened to decimate the child population of New York City in the original Mimic, biologist Susan Tyler and her research associates developed a species of ""Judas"" bugs and introduced them into the environment, where they were to ""mimic"" the diseased roaches and infiltrate their grubby habitats. The plan worked until the bugs evolved to mimic their next prey.....humans! Just when they were all thought to be dead, the giant cockroaches are back, and this time they've mutated to take on human form!",2001-07-17,19.819,en,5.3,159
